id,order_id,product_id,product_name,quantity,unit_price,total_price,selected_options,special_notes
36,31,1,Chocolate Chip,2,60,120,,
37,32,1,Chocolate Chip,1,60,60,,
38,33,1,Chocolate Chip,1,60,60,,
39,33,1,Chocolate Chip,1,60,60,,
40,34,1,Chocolate Chip,1,60,60,,
42,36,1,Chocolate Chip,1,60,60,,
43,36,2,Double Choc Chip,2,65,130,,
44,36,3,Raagi (Gluten Free),1,60,60,,
45,37,1,Chocolate Chip,3,60,180,,
46,38,1,Chocolate Chip,3,60,180,,
48,40,9,Nutella Tin,1,600,600,,
49,41,1,Chocolate Chip,2,60,120,,
51,43,1,Chocolate Chip,1,60,60,,
53,45,1,Chocolate Chip,1,60,60,,
56,48,1,Chocolate Chip,2,60,120,,
57,48,1,Chocolate Chip,1,60,60,,
58,49,7,Biscoff Filled,2,110,220,,
60,51,1,Chocolate Chip,2,60,120,,
61,52,1,Chocolate Chip,2,60,120,,
62,53,5,ADC Special,2,90,180,,
63,54,1,Chocolate Chip,2,60,120,,
64,55,1,Chocolate Chip,1,60,60,,
65,55,6,Red Velvet With Cheese,2,90,180,,
66,56,1,Chocolate Chip,2,60,120,,
67,56,6,Red Velvet With Cheese,2,90,180,,
68,57,1,Chocolate Chip,2,60,120,,
69,58,6,Red Velvet With Cheese,1,90,90,,
70,58,8,Nutella Filled,1,90,90,,
71,59,2,Double Choc Chip,1,65,65,,
72,59,3,Raagi (Gluten Free),1,60,60,,
73,60,9,Nutella Tin,1,600,600,"{""giftWrap"":true,""giftMessage"":""You ask  it…. You get it….""}",
74,61,1,Chocolate Chip,1,60,60,,
75,61,9,Nutella Tin,1,600,600,,
76,62,1,Chocolate Chip Cookie,1,60,60,,
77,62,3,Ragi Cookie (Gluten-Free),2,60,120,,
78,63,2,Double Choco Chip Cookie,2,65,130,,
79,64,1,Chocolate Chip Cookie,2,60,120,,
80,65,1,Chocolate Chip Cookie,1,60,60,,
81,66,1,Chocolate Chip Cookie,1,60,60,,
82,67,1,Chocolate Chip Cookie,2,60,120,,
83,68,1,Chocolate Chip Cookie,2,60,120,,
84,69,1,Chocolate Chip Cookie,1,60,60,,
