id,order_id,status,remarks,created_at
40,31,PLACED,Order placed successfully,2026-06-22T18:10:12.816Z
41,31,CONFIRMED,Payment received via Razorpay,2026-06-22T18:11:12.698Z
42,31,SHIPMENT_CREATED,Delhivery waybill 85582010000044,2026-06-22T18:11:13.440Z
43,32,PLACED,Order placed successfully,2026-06-22T18:29:37.707Z
44,32,CONFIRMED,Payment received via Razorpay,2026-06-22T18:30:37.249Z
45,32,SHIPMENT_CREATED,Delhivery waybill 85582010000055,2026-06-22T18:30:38.298Z
46,33,PLACED,Order placed successfully,2026-06-27T05:22:37.399Z
47,33,CONFIRMED,Payment received via Razorpay,2026-06-27T05:23:45.505Z
48,33,SHIPMENT_CREATED,Delhivery waybill 85582010000066,2026-06-27T05:23:46.717Z
49,34,PLACED,Order placed successfully,2026-06-29T08:55:07.987Z
50,34,CONFIRMED,Payment received via Razorpay,2026-06-29T08:56:13.416Z
51,34,SHIPMENT_CREATED,Delhivery waybill 85582010000070,2026-06-29T08:56:14.437Z
53,36,PLACED,Order placed successfully,2026-07-04T18:51:06.782Z
54,36,CONFIRMED,Payment received via Razorpay,2026-07-04T18:51:47.669Z
55,36,SHIPMENT_CREATED,Delhivery waybill 85582010000081,2026-07-04T18:51:48.781Z
56,37,PLACED,Order placed successfully,2026-07-04T19:05:58.931Z
57,37,CONFIRMED,Payment received via Razorpay,2026-07-04T19:06:21.669Z
58,37,SHIPMENT_CREATED,Delhivery waybill 85582010000092,2026-07-04T19:06:22.670Z
59,38,PLACED,Order placed successfully,2026-07-04T19:24:23.696Z
60,38,CONFIRMED,Payment received via Razorpay,2026-07-04T19:24:48.101Z
61,38,SHIPMENT_CREATED,Delhivery waybill 85582010000103,2026-07-04T19:24:49.177Z
63,40,PLACED,Order placed successfully,2026-07-05T17:44:53.915Z
64,40,CONFIRMED,Payment received via Razorpay,2026-07-05T17:45:32.396Z
65,40,SHIPMENT_CREATED,Delhivery waybill SF1768309781DOF,2026-07-05T17:45:33.138Z
66,41,PLACED,Order placed successfully,2026-07-05T18:42:38.432Z
67,41,CONFIRMED,Payment received via Razorpay,2026-07-05T18:43:27.468Z
68,41,SHIPMENT_CREATED,Delhivery waybill SF1768310687DOF,2026-07-05T18:43:28.614Z
71,43,PLACED,Order placed successfully,2026-07-07T19:33:39.145Z
72,43,CONFIRMED,Payment received via Razorpay,2026-07-07T19:34:11.364Z
73,43,SHIPMENT_CREATED,Delhivery waybill SF1769040728DOF,2026-07-07T19:34:12.374Z
74,43,New,Item New at BLR_Domlur,2026-07-08 01:04:12
76,45,PLACED,Order placed successfully,2026-07-08T10:50:28.620Z
77,45,CONFIRMED,Payment received via Razorpay,2026-07-08T10:51:09.625Z
78,45,SHIPMENT_CREATED,Delhivery waybill SF1770170860DOF,2026-07-08T10:51:11.393Z
79,45,New,Item New at BLR_Domlur,2026-07-08 16:21:11
80,45,Out for delivery,Rider en route to your address,2026-07-08T16:45:00+05:30
81,45,Out for delivery,test,2026-07-08T16:45:00+05:30
82,45,Out for delivery,Rider en route to your address,2026-07-08T16:45:00+05:30
87,45,Delivered,Delivered to Sudheer Kumar,2026-07-08T18:00:00+05:30
88,48,PLACED,Order placed successfully,2026-07-08T19:32:59.019Z
89,48,CONFIRMED,Payment received via Razorpay,2026-07-08T19:33:34.705Z
90,48,SHIPMENT_CREATED,Delhivery waybill 85582010000195,2026-07-08T19:33:35.820Z
91,49,PLACED,Order placed successfully,2026-07-09T18:46:43.840Z
