id,order_number,user_id,address_id,subtotal,discount_amount,delivery_fee,tax_amount,total_amount,coupon_code,payment_status,order_status,delhivery_waybill,delhivery_shipment_id,tracking_url,shipment_status,label_generated,created_at,updated_at,razorpay_order_id,carrier,estimated_delivery
55,ADC20260716200130,7,8,240,0,100,0,340,,PENDING,PLACED,,,,NOT_CREATED,f,2026-07-16T20:01:30.888Z,2026-07-16T20:01:32.298Z,order_TEIZlsROG0Dy6h,,
59,ADC20260717053247,22,18,125,0,0,0,125,,PENDING,PLACED,,,,NOT_CREATED,f,2026-07-17T05:32:47.815Z,2026-07-17T05:32:49.379Z,order_TESJEqcZ1tLKPx,,
31,ADC20260622234012,14,7,120,0,100,0,220,,PAID,DELIVERED,85582010000044,,https://www.delhivery.com/track/package/85582010000044,Manifested,t,2026-06-22T18:10:12.816Z,2026-07-09T19:24:23.676Z,order_T4lrPh2cBy6WGY,,
57,ADC20260717032350,14,7,120,0,100,0,220,,PAID,CONFIRMED,85582010000280,,https://www.delhivery.com/track/package/85582010000280,Manifested,t,2026-07-17T03:23:50.737Z,2026-07-17T05:55:44.184Z,order_TEQ73xEqKPYbgk,DELHIVERY,
61,ADC20260719144301,44,22,660,0,100,0,760,,PENDING,PLACED,,,,NOT_CREATED,f,2026-07-19T14:43:01.572Z,2026-07-19T14:43:01.572Z,,,
63,ADC20260722104807,7,8,130,0,0,0,130,,PAID,CONFIRMED,SF1784684342DOF,,https://track.shadowfax.in/#/track/SF1784684342DOF,New,f,2026-07-22T05:18:07.172Z,2026-07-22T05:18:52.201Z,order_TGQjKi7QG5RlIX,SHADOWFAX,
65,ADC20260722203817,7,8,60,0,0,0,60,,PENDING,PLACED,,,,NOT_CREATED,f,2026-07-22T20:38:17.976Z,2026-07-22T20:38:19.221Z,order_TGgPLeKlAUVckK,,
66,ADC20260722203833,7,8,60,0,0,0,60,,PENDING,PLACED,,,,NOT_CREATED,f,2026-07-22T20:38:33.249Z,2026-07-22T20:38:34.430Z,order_TGgPcFbDGdHZa0,,
68,ADC20260722211553,28,25,120,0,0,0,120,,PAID,CONFIRMED,85582010000313,,https://www.delhivery.com/track/package/85582010000313,CREATED,t,2026-07-22T21:15:53.056Z,2026-07-22T21:16:19.671Z,order_TGh336icXzMQZK,DELHIVERY,
34,ADC20260629085507,7,8,60,0,100,0,160,,PAID,CONFIRMED,85582010000070,,https://www.delhivery.com/track/package/85582010000070,Manifested,t,2026-06-29T08:55:07.987Z,2026-06-29T12:22:08.051Z,order_T7O9AuqJGRTpvV,,
