id,order_id,provider,transaction_id,amount,status,paid_at,created_at,razorpay_fee,razorpay_tax,method,card_network,card_last4,vpa,bank,amount_refunded
4,31,RAZORPAY,pay_T4ls0i2ljGXpwN,220,PAID,2026-06-22T18:11:12.698Z,2026-06-22T18:11:12.698Z,,,,,,,,0
5,32,RAZORPAY,pay_T4mCUOdIewxqpf,160,PAID,2026-06-22T18:30:37.249Z,2026-06-22T18:30:37.249Z,,,,,,,,0
6,33,RAZORPAY,pay_T6XSs5yMIdytoI,220,PAID,2026-06-27T05:23:45.505Z,2026-06-27T05:23:45.505Z,,,,,,,,0
7,34,RAZORPAY,pay_T7O9a8tbZbT8Ef,160,PAID,2026-06-29T08:56:13.416Z,2026-06-29T08:56:13.416Z,,,,,,,,0
8,36,RAZORPAY,pay_T9WyUkG8DY4wzc,350,PAID,2026-07-04T18:51:47.669Z,2026-07-04T18:51:47.669Z,,,,,,,,0
9,37,RAZORPAY,pay_T9XDtXZJVZvoNt,280,PAID,2026-07-04T19:06:21.669Z,2026-07-04T19:06:21.669Z,,,,,,,,0
10,38,RAZORPAY,pay_T9XXP1iMzDv2UD,280,PAID,2026-07-04T19:24:48.101Z,2026-07-04T19:24:48.101Z,,,,,,,,0
11,40,RAZORPAY,pay_T9uNRdekttPUIz,700,PAID,2026-07-05T17:45:32.396Z,2026-07-05T17:45:32.396Z,,,,,,,,0
12,41,RAZORPAY,pay_T9vMnNrlznEkYb,220,PAID,2026-07-05T18:43:27.468Z,2026-07-05T18:43:27.468Z,,,,,,,,0
14,43,RAZORPAY,pay_TAjIcZLOmStSqI,160,PAID,2026-07-07T19:34:11.364Z,2026-07-07T19:34:11.364Z,,,,,,,,0
15,45,RAZORPAY,pay_TAyvHzLTtvVV9Z,160,PAID,2026-07-08T10:51:09.625Z,2026-07-08T10:51:09.625Z,,,,,,,,0
18,48,RAZORPAY,pay_TB7p2KdWZ56WRc,280,PAID,2026-07-08T19:33:34.705Z,2026-07-08T19:33:34.705Z,,,,,,,,0
19,49,RAZORPAY,pay_TBVZObWZhcbTH2,320,PAID,2026-07-09T18:47:19.440Z,2026-07-09T18:47:19.440Z,,,,,,,,0
20,51,RAZORPAY,pay_TBVbg5oINhfKyC,220,PAID,2026-07-09T18:49:33.601Z,2026-07-09T18:49:33.601Z,,,,,,,,0
21,52,RAZORPAY,pay_TDMI9pnfhlbB1w,220,PAID,2026-07-14T11:00:45.228Z,2026-07-14T11:00:45.228Z,,,,,,,,0
22,53,RAZORPAY,pay_TDj614LRBdgyX9,280,PAID,2026-07-15T09:19:12.776Z,2026-07-15T09:19:12.776Z,,,,,,,,0
23,54,RAZORPAY,pay_TEGsyE4A3WxcoL,220,PAID,2026-07-16T18:22:28.420Z,2026-07-16T18:22:28.420Z,,,,,,,,0
24,56,RAZORPAY,pay_TEIibjxm9iLr3j,400,PAID,2026-07-16T20:10:01.258Z,2026-07-16T20:10:01.258Z,,,,,,,,0
25,57,RAZORPAY,pay_TEQ7SR0N1e24A3,220,PAID,2026-07-17T03:24:25.126Z,2026-07-17T03:24:25.126Z,,,,,,,,0
26,58,RAZORPAY,pay_TES6mPGFCfc25n,180,PAID,2026-07-17T05:21:12.817Z,2026-07-17T05:21:12.817Z,,,,,,,,0
27,63,RAZORPAY,pay_TGQjlDWBr9vzHl,130,PAID,2026-07-22T05:18:39.870Z,2026-07-22T05:18:39.870Z,,,,,,,,0
28,64,RAZORPAY,pay_TGgFz11bbolOgy,120,PAID,2026-07-22T20:29:34.844Z,2026-07-22T20:29:34.844Z,,,,,,,,0
29,67,RAZORPAY,pay_TGgrn2n5q0mEs5,120,PAID,2026-07-22T21:05:26.734Z,2026-07-22T21:05:26.734Z,,,,,,,,0
30,68,RAZORPAY,pay_TGh3KrrOHwBks7,120,PAID,2026-07-22T21:16:18.220Z,2026-07-22T21:16:18.220Z,,,,,,,,0
