id,user_id,coupon_id,code,label,claimed_at,expires_at,gift_product_id
8,7,131,SPIN5,5% off,2026-07-17T21:11:12.816Z,2026-07-18T09:11:12.816Z,
9,40,6,SPINCOOKIE,Free Filled Cookie,2026-07-18T01:14:08.101Z,2026-07-18T13:14:08.101Z,
10,29,131,SPIN5,5% off,2026-07-18T01:43:02.928Z,2026-07-18T13:43:02.928Z,
11,27,6,SPINCOOKIE,Free Filled Cookie,2026-07-18T03:36:13.916Z,2026-07-18T15:36:13.916Z,
12,21,131,SPIN5,5% off,2026-07-18T03:39:07.250Z,2026-07-18T15:39:07.250Z,
14,42,6,SPINCOOKIE,Free Filled Cookie,2026-07-19T07:32:36.029Z,2026-07-19T19:32:36.029Z,
15,29,131,SPIN5,5% off,2026-07-19T11:02:02.030Z,2026-07-19T23:02:02.030Z,
16,43,131,SPIN5,5% off,2026-07-19T14:03:57.494Z,2026-07-20T02:03:57.494Z,
17,46,135,SPINBOWL,Free Mini Cookie Bowl,2026-07-19T17:20:16.926Z,2026-07-20T05:20:16.926Z,
18,7,6,SPINCOOKIE,Free Filled Cookie,2026-07-19T17:32:31.029Z,2026-07-20T05:32:31.029Z,
19,53,11,SPIN75,₹75 off on ₹599,2026-07-21T11:50:50.765Z,2026-07-21T23:50:50.765Z,
