id,device_id,user_id,code,drawn_at,expires_at
16,fc2eb1a6-46c9-40e0-87d7-ce66a7b2d8eb,,SPINCOOKIE,2026-07-18T00:39:41.184Z,2026-07-18T12:39:41.359Z
17,9429f5a2-133b-411a-bb82-28f750dce167,,SPIN5,2026-07-18T01:42:13.883Z,2026-07-18T13:42:14.017Z
18,d6b605af-f14e-475a-b6f0-638419f76577,,,2026-07-18T03:30:43.453Z,2026-07-18T15:30:43.585Z
19,3674e54c-2086-4afb-8e35-2fb6f9768ba2,,,2026-07-18T03:31:29.149Z,2026-07-18T15:31:29.280Z
20,b657d6ed-883b-4616-8df3-ac2474677559,,SPIN5,2026-07-18T03:33:41.429Z,2026-07-18T15:33:41.568Z
21,659d1a21-9b7c-40a3-8ef9-187a13f51507,,SPINCOOKIE,2026-07-18T03:35:21.017Z,2026-07-18T15:35:21.147Z
22,644fbe2a-17cf-49b0-953f-dc092fa1e028,,SPIN5,2026-07-18T03:37:45.787Z,2026-07-18T15:37:45.917Z
23,9fcd187c-e773-4b35-b581-8b85a5b397bf,,SPIN75,2026-07-18T05:11:49.523Z,2026-07-18T17:11:49.664Z
24,52e8ae0c-597a-4937-b566-15a5361bdb8e,,SPIN5,2026-07-18T16:02:51.700Z,2026-07-19T04:02:51.873Z
25,fe3c5201-b0b2-4cd5-941a-98aef457a8bf,,SPINCOOKIE,2026-07-19T07:26:39.959Z,2026-07-19T19:26:40.088Z
26,6087869d-193a-4128-b418-7ea6365ca492,29,SPIN5,2026-07-19T11:01:56.961Z,2026-07-19T23:01:57.090Z
27,5babe8db-31e8-4c88-a901-8567e366e119,43,SPIN5,2026-07-19T14:03:52.473Z,2026-07-20T02:03:52.599Z
28,550b567e-3829-49c4-a15a-53a05467bdcf,,SPINBOWL,2026-07-19T17:19:36.057Z,2026-07-20T05:19:36.190Z
29,b657d6ed-883b-4616-8df3-ac2474677559,7,,2026-07-19T17:31:51.801Z,2026-07-20T05:31:51.937Z
30,66d962db-aa7c-4cfc-9ceb-1f6a32ab50b8,,SPINCOOKIE,2026-07-19T17:32:15.807Z,2026-07-20T05:32:15.936Z
31,02b30732-6930-4341-a35e-a18961e096c9,,,2026-07-20T03:53:34.708Z,2026-07-20T15:53:34.836Z
32,990a3b0d-0c87-42fa-b8cb-ebca0886f8c9,,SPIN5,2026-07-20T15:47:18.074Z,2026-07-21T03:47:18.648Z
33,9e5f8b6f-d4ca-41bb-ae62-e3bcc8d35a84,,,2026-07-20T16:06:02.310Z,2026-07-21T04:06:02.437Z
34,fb3000fa-c4a9-4a93-9668-710169463e14,,,2026-07-20T23:21:15.147Z,2026-07-21T11:21:15.278Z
35,941495e3-9cc7-4b94-b421-bd290ae04edf,,SPIN5,2026-07-21T07:47:37.135Z,2026-07-21T19:47:37.648Z
36,64346b87-0f3a-4423-8186-4cd3475f3233,,SPINCOOKIE,2026-07-21T10:08:24.243Z,2026-07-21T22:08:24.368Z
37,fc660b21-42a1-4897-b29d-4cf1ede9908b,,SPIN75,2026-07-21T11:50:17.953Z,2026-07-21T23:50:18.083Z
38,37e59eee-dbf1-41f0-b03c-dd29d3d268ff,,SPINCOOKIE,2026-07-22T05:13:53.891Z,2026-07-22T17:13:54.029Z
39,bcb1ab0a-9686-470a-9e57-04dc1b5522c5,,,2026-07-22T07:26:15.426Z,2026-07-22T19:26:15.543Z
40,143232bb-84af-41f9-95d8-c5afc97c67e8,,SPIN5,2026-07-22T12:26:34.098Z,2026-07-23T00:26:34.216Z
41,ee4bd434-34ce-4c75-9732-0fbb6cf21716,,SPIN5,2026-07-23T12:32:18.309Z,2026-07-24T00:32:18.476Z
42,fb3000fa-c4a9-4a93-9668-710169463e14,,,2026-07-23T14:34:20.685Z,2026-07-24T02:34:20.817Z
43,a5e13c06-aac9-447d-9b03-4a47b28a08ba,,SPIN5,2026-07-24T13:13:13.218Z,2026-07-25T01:13:13.386Z
